ARGNode_s9iB2L6H,Singleton_8HgR3Wfp,NODE_24
A/Kenya/15/2017,A/Kenya/15/2017,A/Kenya/15/2017
A/Kenya/7/2017,A/Kenya/7/2017,A/Kenya/7/2017
A/SouthAfrica/R7774/2017,A/SouthAfrica/R7774/2017,A/SouthAfrica/R7774/2017
ARGNode_C8q5PTgn,RESOLVED_4,NODE_10
ARGNode_G6dK6rt7,NODE_52,RESOLVED_15
ARGNode_ZmRcsGPT,NODE_5, 
ARGNode_LIu17ong,NODE_6,NODE_26
ARGNode_INffTl8A,RESOLVED_12,RESOLVED_18
A/Alaska/10/2017,A/Alaska/10/2017,A/Alaska/10/2017
ARGNode_7D1ODxvY,NODE_16,RESOLVED_9
A/Bolivia/397/2017,A/Bolivia/397/2017,A/Bolivia/397/2017
ARGNode_lxytk07V,NODE_15,NODE_32
A/Newcastle/62/2017,A/Newcastle/62/2017,A/Newcastle/62/2017
A/Brazil/1967/2017,A/Brazil/1967/2017,A/Brazil/1967/2017
ARGNode_rA8ieUbl,NODE_30,NODE_42
A/Wisconsin/315/2017,A/Wisconsin/315/2017,A/Wisconsin/315/2017
A/Victoria/102/2017,A/Victoria/102/2017,A/Victoria/102/2017
ARGNode_xHtEBV6V,NODE_11,Singleton_EHZFAzXI
A/Taiwan/272/2017,A/Taiwan/272/2017,A/Taiwan/272/2017
A/Mozambique/309/2017,A/Mozambique/309/2017,A/Mozambique/309/2017
A/Paris/1145/2017,A/Paris/1145/2017,A/Paris/1145/2017
A/Sukhothai/99/2017,A/Sukhothai/99/2017,A/Sukhothai/99/2017
A/SantaCatarina/209/2017,A/SantaCatarina/209/2017,A/SantaCatarina/209/2017
ARGNode_QXTS8Yhn,RESOLVED_15,RESOLVED_3
ARGNode_uNf7cPug,RESOLVED_13,RESOLVED_16
A/SouthAuckland/30/2017,A/SouthAuckland/30/2017,A/SouthAuckland/30/2017
ARGNode_auHW2ACs,NODE_44,Singleton_dhmZxtm8
ARGNode_MDsQeC3W,NODE_10,NODE_48
A/Brisbane/43/2017,A/Brisbane/43/2017,A/Brisbane/43/2017
ARGNode_SJtcgzai, , 
ARGNode_jVwLfpgU,NODE_8,NODE_47
A/Bangladesh/602005/2017,A/Bangladesh/602005/2017,A/Bangladesh/602005/2017
A/Novosibirsk/47/2017,A/Novosibirsk/47/2017,A/Novosibirsk/47/2017
A/Michigan/203/2017,A/Michigan/203/2017,A/Michigan/203/2017
ARGNode_zPQXqMPQ,RESOLVED_3,NODE_7
A/Tasmania/39/2017,A/Tasmania/39/2017,A/Tasmania/39/2017
A/Michigan/244/2017,A/Michigan/244/2017,A/Michigan/244/2017
ARGNode_j8dnJemW, , 
A/Victoria/2080/2017,A/Victoria/2080/2017,A/Victoria/2080/2017
A/HongKong/2226/2017,A/HongKong/2226/2017,A/HongKong/2226/2017
A/Hawaii/27/2017,A/Hawaii/27/2017,A/Hawaii/27/2017
ARGNode_N7cYGWi2,Singleton_yLR4Xrsx,NODE_20
